Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C3, C4",0402,5,100n,
"C10, C13",0805,2,22u,
"C11, C9",0402,2,10p,
C5,0603,1,10u,
C6,0402,1,10n,
"C7, C8",0402,2,1u,
D1,0603,1,RED,
FB1,0603,1,120R,
"J1, J2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J4,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,
J5,SAMTEC_FTSH-107-01-F-DV-K-P-TR,1,FTSH-107-01-F-DV-K-P-TR,
R1,0402,1,10k,
"R2, R3, R4, R5",0402,4,1k5,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
