Designator,Mid X,Mid Y,Rotation,Layer
C1,62.5,-41.5,0.0,top
C10,74.75,-49.412,0.0,top
C11,57.0,-48.0,90.0,top
C12,62.25,-54.0,0.0,top
C13,79.576,-54.934,90.0,top
C2,71.12,-45.212,270.0,top
C3,67.8,-54.0,180.0,top
C4,59.0,-44.75,90.0,top
C5,62.5,-39.75,0.0,top
C6,59.182,-48.994,90.0,top
C7,58.42,-52.578,180.0,top
C8,58.42,-54.102,180.0,top
C9,57.0,-45.75,90.0,top
D1,82.804,-55.25,270.0,top
FB1,60.198,-53.34,270.0,top
J1,60.95,-35.306,270.0,top
J2,63.51,-60.452,90.0,top
J4,84.0,-46.75,90.0,top
J5,76.5,-37.5,180.0,top
R1,53.594,-42.418,90.0,top
R2,64.0,-57.15,0.0,top
R3,66.04,-57.15,0.0,top
R4,83.4,-52.5,0.0,top
R5,73.406,-46.01,270.0,top
SW1,49.5,-42.418,270.0,top
U1,65.0,-48.0,270.0,top
U2,74.75,-55.0,90.0,top
Y1,54.5,-47.0,270.0,top
